"Story","Title","Result","Date","Stability","Duration (s)"
"LT-102 Map Legends","The Legend section and meaning","SUCCESS","2020-05-18T11:53:25.861+10:00[Australia/Sydney]","0.0","15.81"
"LT-22 Map Feature Panel","Incident section on map features panel","SUCCESS","2020-05-18T11:53:41.682+10:00[Australia/Sydney]","0.0","18.8"
"LT-22 Map Feature Panel","Order of map filter incident icons in Map View","SUCCESS","2020-05-18T11:54:00.488+10:00[Australia/Sydney]","0.0","3.86"
"LT-22 Map Feature Panel","Filter for Live Traffic Cameras","SUCCESS","2020-05-18T11:54:04.354+10:00[Australia/Sydney]","0.0","14.57"
"LT-22 Map Feature Panel","Filter for Live Traffic Rest Areas","SUCCESS","2020-05-18T11:54:18.951+10:00[Australia/Sydney]","0.0","12.68"
"LT-22 Map Feature Panel","Filter for Heavy Vehicle Checking stations","SUCCESS","2020-05-18T11:54:31.639+10:00[Australia/Sydney]","0.0","11.21"
"LT-22 Map Feature Panel","Filter for future incidents","SUCCESS","2020-05-18T11:54:42.852+10:00[Australia/Sydney]","0.0","15.76"
"LT-52 Refresh Incident Data","verify auto refresh turn on and off toggle","SUCCESS","2020-05-18T11:56:02.77+10:00[Australia/Sydney]","0.0","127.77"
"LT-48 Trip Plan A to B","Show Plan a trip UI","SUCCESS","2020-05-18T11:58:10.549+10:00[Australia/Sydney]","0.0","15.63"
"LT-48 Trip Plan A to B","Clear Trip Plan","SUCCESS","2020-05-18T11:58:26.186+10:00[Australia/Sydney]","0.0","18.68"
"LT-48 Trip Plan A to B","Options tab to avoid tolls or highways","SUCCESS","2020-05-18T11:58:44.886+10:00[Australia/Sydney]","0.0","20.83"
"LT-48 Trip Plan A to B","Reverse trip order","SUCCESS","2020-05-18T11:59:05.72+10:00[Australia/Sydney]","0.0","22.66"
"LT-48 Trip Plan A to B","Search input field","SUCCESS","2020-05-18T11:59:28.387+10:00[Australia/Sydney]","0.0","14.3"
"LT-48 Trip Plan A to B","Incidents on route list front end","SUCCESS","2020-05-18T11:59:42.701+10:00[Australia/Sydney]","0.0","22.37"
"LT-48 Trip Plan A to B","Change default route via tabs","SUCCESS","2020-05-18T12:00:05.077+10:00[Australia/Sydney]","0.0","19.45"
"LT-273 Text View of Incidents","Text View - Home page","SUCCESS","2020-05-18T12:00:24.565+10:00[Australia/Sydney]","0.0","10.03"
"LT-273 Text View of Incidents","Text View - Map filter Incidents icons in right order","SUCCESS","2020-05-18T12:00:34.605+10:00[Australia/Sydney]","0.0","8.69"
"LT-273 Text View of Incidents","Text View - Refresh Data Time Stamp and Toggle","SUCCESS","2020-05-18T12:00:43.309+10:00[Australia/Sydney]","0.0","67.67"
"LT-273 Text View of Incidents","Incident filters for text view list","SUCCESS","2020-05-18T12:01:50.992+10:00[Australia/Sydney]","0.0","26.16"
"LT-273 Text View of Incidents","Text View - Ended Incident details","SUCCESS","2020-05-18T12:02:17.166+10:00[Australia/Sydney]","0.0","14.38"
"LT-273 Text View of Incidents","Text View - Accordion Functionality for incident cards","SUCCESS","2020-05-18T12:02:31.574+10:00[Australia/Sydney]","0.0","26.06"
"LT-273 Text View of Incidents","All Sydney - Sub location filters","SUCCESS","2020-05-18T12:04:21.362+10:00[Australia/Sydney]","0.0","20.62"
"LT-273 Text View of Incidents","All Regional - Sub location filters","SUCCESS","2020-05-18T12:04:41.995+10:00[Australia/Sydney]","0.0","19.7"
"LT-396 Current and Future incident list","Verify Unplanned incident details in text view Traffic Hazard page","SUCCESS","2020-05-18T12:05:01.713+10:00[Australia/Sydney]","0.0","27.53"
"LT-396 Current and Future incident list","Verify Planned incident details in text view Traffic Hazard page","SUCCESS","2020-05-18T12:05:29.278+10:00[Australia/Sydney]","0.0","27.13"
"LT-396 Current and Future incident list","Verify Major event details in text view Traffic Hazard page","SUCCESS","2020-05-18T12:05:56.425+10:00[Australia/Sydney]","0.0","30.37"
"LT-141 High Impact Banner","High Impact Banner Display and Dismiss","SUCCESS","2020-05-18T12:06:26.875+10:00[Australia/Sydney]","0.0","9.68"
"LT-3 Main Menu","Verify display of menu items and page footers","SUCCESS","2020-05-18T12:06:36.576+10:00[Australia/Sydney]","0.0","6.59"
"LT-3 Main Menu","Verify display of options in the homepage side menu bar","SUCCESS","2020-05-18T12:06:43.189+10:00[Australia/Sydney]","0.0","7.18"
"LT-3 Main Menu","Navigate to Live Traffic NSW - Facebook","SUCCESS","2020-05-18T12:06:50.378+10:00[Australia/Sydney]","0.0","30.85"
"LT-3 Main Menu","Navigate to Live Traffic Sydney - Twitter","SUCCESS","2020-05-18T12:07:21.25+10:00[Australia/Sydney]","0.0","8.89"
"LT-3 Main Menu","Navigate to Live Traffic NSW - Twitter","SUCCESS","2020-05-18T12:07:30.165+10:00[Australia/Sydney]","0.0","8.92"
"LT-3 Main Menu","Navigate to Online Privacy Page","SUCCESS","2020-05-18T12:07:39.106+10:00[Australia/Sydney]","0.0","9.07"
"LT-3 Main Menu","Navigate to Copyright Page","SUCCESS","2020-05-18T12:07:48.205+10:00[Australia/Sydney]","0.0","8.77"
"LT-3 Main Menu","Navigate to Transport for NSW Home page from LiveTraffic Website","SUCCESS","2020-05-18T12:07:57.003+10:00[Australia/Sydney]","0.0","9.5"
"LT-3 Main Menu","Navigate to Terms and Condition Page","SUCCESS","2020-05-18T12:08:06.522+10:00[Australia/Sydney]","0.0","5.5"
"LT-3 Main Menu","Navigate to Help Page","SUCCESS","2020-05-18T12:08:12.035+10:00[Australia/Sydney]","0.0","5.47"
"LT-3 Main Menu","Map Native Controls","SUCCESS","2020-05-18T12:08:17.517+10:00[Australia/Sydney]","0.0","3.63"
"LT-4 Map Operation Drawer and toggle features","Incident section on map features panel","SUCCESS","2020-05-18T12:08:21.163+10:00[Australia/Sydney]","0.0","58.08"
"LT-15 Incident Details","Incident title and Incident type label","SUCCESS","2020-05-18T12:09:19.267+10:00[Australia/Sydney]","0.0","11.08"
"LT-15 Incident Details","Show incident summary card","SUCCESS","2020-05-18T12:09:30.372+10:00[Australia/Sydney]","0.0","12.62"
"LT-15 Incident Details","Show traffic condition and impact","SUCCESS","2020-05-18T12:09:43.012+10:00[Australia/Sydney]","0.0","11.77"
"LT-15 Incident Details","Incident started and last checked day date and time details","SUCCESS","2020-05-18T12:09:54.809+10:00[Australia/Sydney]","0.0","12.13"
"LT-15 Incident Details","Planned incident - impact on lanes and roads","SUCCESS","2020-05-18T12:10:06.955+10:00[Australia/Sydney]","0.0","10.06"
"LT-15 Incident Details","Unplanned incident - impact on lanes and roads","SUCCESS","2020-05-18T12:10:17.031+10:00[Australia/Sydney]","0.0","10.03"
"LT-15 Incident Details","Public Transport Diversion and Other Advice","SUCCESS","2020-05-18T12:10:27.086+10:00[Australia/Sydney]","0.0","10.04"
"LT-15 Incident Details","Traffic advice snippets","SUCCESS","2020-05-18T12:10:37.157+10:00[Australia/Sydney]","0.0","10.21"
"LT-15 Incident Details","Traffic arrangements accordions","SUCCESS","2020-05-18T12:10:47.388+10:00[Australia/Sydney]","0.0","16.43"
"LT-15 Incident Details","Traffic advice info","SUCCESS","2020-05-18T12:11:03.843+10:00[Australia/Sydney]","0.0","18.82"
"LT-56 Traffic Camera LHS panel","Viewing Selected Camera output","SUCCESS","2020-05-18T12:11:22.709+10:00[Australia/Sydney]","0.0","18.55"
"LT-56 Traffic Camera LHS panel","View Camera Region - Inner Sydney","SUCCESS","2020-05-18T12:11:41.278+10:00[Australia/Sydney]","0.0","12.04"
"LT-56 Traffic Camera LHS panel","View Camera Region - Sydney North","SUCCESS","2020-05-18T12:11:53.331+10:00[Australia/Sydney]","0.0","11.55"
"LT-56 Traffic Camera LHS panel","View Camera Region - Sydney West","SUCCESS","2020-05-18T12:12:04.908+10:00[Australia/Sydney]","0.0","10.65"
"LT-56 Traffic Camera LHS panel","View Camera Region - Sydney South","SUCCESS","2020-05-18T12:12:15.581+10:00[Australia/Sydney]","0.0","11.34"
"LT-56 Traffic Camera LHS panel","View Camera Region - Regional North","SUCCESS","2020-05-18T12:12:26.935+10:00[Australia/Sydney]","0.0","11.27"
"LT-56 Traffic Camera LHS panel","View Camera Region - Regional South","SUCCESS","2020-05-18T12:12:38.222+10:00[Australia/Sydney]","0.0","10.65"
"LT-56 Traffic Camera LHS panel","View Camera Region - All Regional","SUCCESS","2020-05-18T12:12:48.884+10:00[Australia/Sydney]","0.0","13.12"
"LT-56 Traffic Camera LHS panel","View Camera Region - All NSW","SUCCESS","2020-05-18T12:13:02.021+10:00[Australia/Sydney]","0.0","15.83"
"LT-56 Traffic Camera LHS panel","View Camera Region - All Sydney","SUCCESS","2020-05-18T12:13:17.863+10:00[Australia/Sydney]","0.0","16.09"
"LT-62 View Live Traffic Camera","Place webcamera icons on map","SUCCESS","2020-05-18T12:13:33.974+10:00[Australia/Sydney]","0.0","14.62"
"LT-62 View Live Traffic Camera","Tag each camera feed with the relevant URI","SUCCESS","2020-05-18T12:13:48.633+10:00[Australia/Sydney]","0.0","10.61"
"LT-82 Live Traffic Camera Feed Refresh","Request to refresh camera feed","SUCCESS","2020-05-18T12:13:59.266+10:00[Australia/Sydney]","0.0","75.26"
"LT-82 Live Traffic Camera Feed Refresh","Update refresh time stamp on Map screen","SUCCESS","2020-05-18T12:15:14.574+10:00[Australia/Sydney]","0.0","64.03"
